Station_Name,Lon,Lat,Alti,Time,TEM_Avg
﻿安福村,102.68,25.95,2304,2020/01/01,9.6
﻿中槽子,102.88,26.04,2334,2020/01/01,5.3
﻿宝丰乡,99.36,25.81,1610,2020/01/01,10.2
﻿昙华,101.23,25.95,2716,2020/01/01,5.4
﻿北斗村,102.98,24.85,1786,2020/01/01,12.8
﻿猴桥,98.3,25.27,1735,2020/01/01,7.5
﻿会仪站,104.25,28.65,402,2020/01/01,10.5
﻿黄茅岭,102.75,23.01,777,2020/01/01,18.7
﻿马过河,103.4,25.45,1920,2020/01/01,9.4
﻿新城,100.19,22.79,1360,2020/01/01,12.4
﻿班岭农场,97.92,24.08,811,2020/01/01,13
﻿石灰窑,99.43,23.64,1646,2020/01/01,10.8
﻿三岔河村,100.65,24.71,1452,2020/01/01,12
﻿片角,100.59,26,1520,2020/01/01,13.2
﻿巧家,102.93,26.92,893.9,2020/01/01,17.5
﻿罗柴冲小学,101.59,24.19,1519,2020/01/01,14.1
﻿曙光,105.07,23.71,1550,2020/01/01,12.9
﻿双河,104.41,26.61,1606,2020/01/01,10
﻿大兴站,103.38,27.7,687,2020/01/01,13.1
﻿潇湘,103.76,25.42,1970,2020/01/01,10.7
﻿荨麻箐,102.64,26.05,2457,2020/01/01,5.7
﻿大厂,98.38,24.77,1791,2020/01/01,10.4
﻿撒营盘,102.53,26,2237,2020/01/01,8
﻿富民,101.6,24.99,1811,2020/01/01,10.3
﻿维的,101.64,26.14,1620,2020/01/01,11
﻿竹蓬村,100.85,24.25,1195,2020/01/01,11.8
﻿木卓,104.82,27.69,1410,2020/01/01,4.7
﻿冲头,103.68,24.06,1922,2020/01/01,11.7
﻿东回,99.8,22.44,1429,2020/01/01,15.8
﻿巴拉格宗,99.45,28.3,2260,2020/01/01,5.3
﻿博尚,100.06,23.72,1706,2020/01/01,10.6
﻿褚橙庄园,101.62,24.29,1080,2020/01/01,16.4
﻿关上,102.74,25.01,1908,2020/01/01,12.9
﻿华坪,101.27,26.63,1230.8,2020/01/01,12.2
﻿伍寨,103.52,27.61,2301,2020/01/01,6.4
﻿以则村,103.26,25.67,1900,2020/01/01,10.6
﻿海埂公园,102.67,24.96,1820,2020/01/01,12.3
﻿保山,99.18,25.12,1652.2,2020/01/01,11.2
﻿环州,101.99,25.87,2170,2020/01/01,8.9
﻿东风三区,100.65,21.69,726,2020/01/01,17.5
﻿法斗,104.78,23.38,1354,2020/01/01,13.2
﻿座舍,103.66,26.29,1665,2020/01/01,10.7
﻿禄劝,102.45,25.55,1750.9,2020/01/01,10.4
﻿羊甫,102.78,24.97,1940,2020/01/01,12.6
﻿双廊镇,100.18,25.94,2108,2020/01/01,8.1
﻿芝兰,102.47,26.05,2153,2020/01/01,6.7
﻿小芹菜塘村,100.52,24.07,1987,2020/01/01,13
﻿红甸乡,103.98,23.65,1461,2020/01/01,14.6
﻿龙泉,103.7,27.38,1969,2020/01/01,8.1
﻿三台,101.08,26.01,2127,2020/01/01,8.4
﻿竹子,101.99,24.64,2280,2020/01/01,9.6
﻿马店村委会,103,25.94,2318,2020/01/01,8.5
﻿明光,98.59,25.74,2132.5,2020/01/01,5.7
﻿富源,104.25,25.68,1925.8,2020/01/01,11.4
